slope  edge   fact1   pHHI    ptop    hhi_aff  hhi_par  x      grad2
0.0    0.10   0.304   0.340   0.447   0.088    0.096    1.09   -0.05
0.0    0.30   0.483   0.316   0.400   0.085    0.106    1.24   -0.14
0.0    0.50   0.687   0.310   0.393   0.102    0.144    1.42   -0.22
0.6    0.10   0.464   0.324   0.426   0.091    0.112    1.23   +0.14
0.6    0.30   0.669   0.316   0.409   0.107    0.150    1.41   +0.05
0.6    0.50   0.836   0.305   0.390   0.127    0.192    1.51   -0.12
1.2    0.10   0.631   0.314   0.414   0.112    0.154    1.37   +0.26
1.2    0.30   0.788   0.310   0.409   0.127    0.187    1.48   +0.08
1.2    0.50   0.916   0.302   0.388   0.144    0.222    1.55   -0.17

data:                    0.47-0.74  0.130   0.250   0.192    0.215    1.12   +0.43
